FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
"Auto, EV & Components",Foreign,US,PHIN,PHINIA INC.,Auto Parts,United States,84.81999969482422,31477860.0,True,
"Auto, EV & Components",Foreign,US,THRM,Gentherm Inc,Auto Parts,United States,35.43000030517578,13293228.0,True,
"Auto, EV & Components",Foreign,US,XPEL,"XPEL, Inc.",Auto Parts,United States,49.369998931884766,10703214.0,True,
"Auto, EV & Components",Foreign,US,FOXF,FOX FACTORY HOLDING CORP,Auto Parts,United States,18.90999984741211,9066190.0,True,
"Auto, EV & Components",Foreign,US,STRT,STRATTEC SECURITY CORP,Auto Parts,United States,82.63999938964844,5742407.0,True,
"Auto, EV & Components",Foreign,US,SMP,"STANDARD MOTOR PRODUCTS, INC.",Auto Parts,United States,40.630001068115234,4519054.0,True,
"Auto, EV & Components",Foreign,US,MPAA,MOTORCAR PARTS OF AMERICA INC,Auto Parts,United States,15.529999732971191,2249117.0,True,
"Auto, EV & Components",Foreign,US,SRI,STONERIDGE INC,Auto Parts,United States,7.340000152587891,1165671.0,True,
"Auto, EV & Components",India,IN,OLAELEC,OLA ELECTRIC MOBILITY LTD,Auto & Truck,India,43.7599983215332,74417753.0,True,
"Auto, EV & Components",India,IN,MARUTI,MARUTI SUZUKI INDIA LTD.,Auto & Truck,India,14115.0,54995449.0,False,10.351028066609324
"Auto, EV & Components",India,IN,BAJAJ-AUTO,BAJAJ AUTO LIMITED,Auto & Truck,India,9716.0,39819787.0,True,16.067375462907663
"Auto, EV & Components",India,IN,ATHERENERG,ATHER ENERGY LIMITED,Auto & Truck,India,1140.550048828125,29647694.0,True,255.69938267216355
"Auto, EV & Components",India,IN,SONACOMS,SONA BLW PRECISION FRGS L,Auto Parts,India,619.9000244140625,9853630.0,True,27.30259962505275
"Auto, EV & Components",India,IN,TIINDIA,TUBE INVEST OF INDIA LTD,Auto Parts,India,3029.300048828125,8795884.0,True,3.5198031056742796
"Auto, EV & Components",India,IN,BELRISE,BELRISE INDUSTRIES LTD,Auto Parts,India,238.57000732421875,8460155.0,True,133.9609732943511
"Auto, EV & Components",India,IN,SANSERA,SANSERA ENGINEERING LTD,Auto Parts,India,3196.199951171875,7037258.0,True,140.8409321054126
"Auto, EV & Components",India,IN,MINDACORP,MINDA CORPORATION LTD,Auto Parts,India,696.7999877929688,3068904.0,True,37.95287653395236
"Auto, EV & Components",India,IN,ENDURANCE,ENDURANCE TECHNO. LTD.,Auto Parts,India,2673.60009765625,2960953.0,True,3.7888236667798836
"Auto, EV & Components",India,IN,LUMAXTECH,LUMAX AUTO TECH LTD,Auto Parts,India,1533.5999755859375,2950840.0,True,42.2502560351548
"Auto, EV & Components",India,IN,SHRIPISTON,SHRIRAM PIST. & RING LTD,Auto Parts,India,4187.39990234375,2894974.0,True,77.48483938800621
"Auto, EV & Components",India,IN,SANDHAR,SANDHAR TECHNOLOGIES LTD,Auto Parts,India,716.9000244140625,2723740.0,True,29.48613615122122
"Auto, EV & Components",India,IN,PRICOLLTD,PRICOL LIMITED,Auto Parts,India,602.2999877929688,2502119.0,True,38.858786811059076
"Auto, EV & Components",India,IN,SJS,SJS ENTERPRISES LIMITED,Auto Parts,India,2218.0,1862822.0,True,78.97199327130893
"Auto, EV & Components",India,IN,WHEELS,WHEELS INDIA LTD,Auto Parts,India,1786.0,1649289.0,True,135.12375689879684
"Auto, EV & Components",India,IN,FIEMIND,FIEM INDUSTRIES LIMITED,Auto Parts,India,2261.300048828125,1200848.0,True,19.72151579682093
"Auto, EV & Components",India,IN,VARROC,VARROC ENGINEERING LTD.,Auto Parts,India,633.0,594417.0,True,12.25394087502265
"Auto, EV & Components",India,IN,SUNDRMFAST,SUNDRAM FASTENERS LTD,Auto Parts,India,934.1500244140625,590565.0,True,-3.116572019552777
"Auto, EV & Components",India,IN,DIVGIITTS,DIVGI TORQTRANSFER SYST L,Auto Parts,India,987.5499877929688,346197.0,True,65.89114867182144
"Auto, EV & Components",India,IN,INDNIPPON,INDIA NIPPON ELECT  LTD,Auto Parts,India,1001.4000244140625,326015.0,True,41.54063949315372
Chemicals & Plastics,Foreign,US,SHW,SHERWIN WILLIAMS CO,Chemical (Specialty),United States,344.07000732421875,780010126.0,True,
Chemicals & Plastics,Foreign,US,ECL,ECOLAB INC.,Chemical (Specialty),United States,283.6499938964844,502668067.0,True,
