FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Medical Devices,Healthcare Products,Belgium,ENXTPA,MLBON,bonyf N.V. (ENXTPA:MLBON),,,,,0.0,-0.32614,,NOT-PROFITABLE,MLBON.PA,,False
Medical Devices,Healthcare Products,Bulgaria,BUL,ETR,Etropal AD (BUL:ETR),,,,,,,,UNVERIFIED,,exchange_not_on_yfinance:BUL,False
Medical Devices,Healthcare Products,Bulgaria,BUL,MKR,Momina Krepost AD (BUL:MKR),,,,,,,,UNVERIFIED,,exchange_not_on_yfinance:BUL,False
Medical Devices,Healthcare Products,Bulgaria,BUL,SYN,Synthetica AD (BUL:SYN),,,,,,,,UNVERIFIED,,exchange_not_on_yfinance:BUL,False
Medical Devices,Healthcare Products,Canada,CNSX,ASEP,ASEP Medical Holdings Inc. (CNSX:ASEP),CA,,,,0.0,-1.06279,0.0,NOT-PROFITABLE,ASEP.CN,,False
Medical Devices,Healthcare Products,Canada,CNSX,ASTI,Aquarius Surgical Technologies Inc. (CNSX:ASTI),CA,,,,0.0,,1.03,UNVERIFIED,ASTI.CN,yfinance_data_gap,True
Medical Devices,Healthcare Products,Canada,TSXV,ASG,Aurora Spine Corporation (TSXV:ASG),CA,,,,-0.03178,-0.15076,0.004,NOT-PROFITABLE,ASG.V,,False
Medical Devices,Healthcare Products,Canada,NYSE,BLCO,Bausch + Lomb Corporation (NYSE:BLCO),CA,,,,-0.03212,-0.02517,0.091,NOT-PROFITABLE,BLCO,,False
Medical Devices,Healthcare Products,Canada,TSXV,CHER,Cheelcare Inc. (TSXV:CHER),CA,,,,-2.10342,,0.194,UNVERIFIED,CHER.V,yfinance_data_gap,True
Medical Devices,Healthcare Products,Canada,TSXV,CNVI,Conavi Medical Corp. (TSXV:CNVI),CA,,,,0.0,,1.241,UNVERIFIED,CNVI.V,yfinance_data_gap,True
Medical Devices,Healthcare Products,Canada,TSXV,FREQ,Frequency Exchange Corp. (TSXV:FREQ),CA,,,,-2.5490198,,-0.513,UNVERIFIED,FREQ.V,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,CNSX,IZO,Izotropic Corporation (CNSX:IZO),CA,,,,0.0,,,UNVERIFIED,IZO.CN,yfinance_data_gap,False
Medical Devices,Healthcare Products,Canada,TSXV,MIR,MedMira Inc. (TSXV:MIR),CA,,,,0.0,,3.08,UNVERIFIED,MIR.V,yfinance_data_gap,True
Medical Devices,Healthcare Products,Canada,TSXV,MDX,MedX Health Corp (TSXV:MDX),CA,,,,0.0,,0.6,UNVERIFIED,MDX.V,yfinance_data_gap,True
