FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252,yf,profit_margin,roe,revenue_growth,verified,expansion_signal
"Auto, EV & Components",India,IN,BELRISE,BELRISE INDUSTRIES LTD,Auto Parts,India,238.57000732421875,8460155.0,True,133.9609732943511,BELRISE.NS,0.052249998,0.12516,0.121,PROFITABLE,True
"Auto, EV & Components",India,IN,SANSERA,SANSERA ENGINEERING LTD,Auto Parts,India,3196.199951171875,7037258.0,True,140.8409321054126,SANSERA.NS,0.092650004,0.111269996,0.278,PROFITABLE,True
Chemicals & Plastics,Foreign,US,SHW,SHERWIN WILLIAMS CO,Chemical (Specialty),United States,344.07000732421875,780010126.0,True,,SHW,0.1086,0.60723,0.068,PROFITABLE,False
Chemicals & Plastics,Foreign,US,ECL,ECOLAB INC.,Chemical (Specialty),United States,283.6499938964844,502668067.0,True,,ECL,0.12798999,0.22427,0.1,PROFITABLE,True
Chemicals & Plastics,Foreign,US,APD,"Air Products & Chemicals, Inc.",Chemical (Specialty),United States,277.7900085449219,359993257.0,True,,APD,0.16906999,0.12353,0.088,PROFITABLE,False
Chemicals & Plastics,Foreign,US,CTVA,"Corteva, Inc.",Chemical (Specialty),United States,82.62000274658203,317476138.0,True,,CTVA,0.064959995,0.051370002,0.11,PROFITABLE,True
Chemicals & Plastics,Foreign,US,CF,"CF Industries Holdings, Inc.",Chemical (Specialty),United States,105.6999969482422,296081817.0,True,,CF,0.23733999,0.273,0.194,PROFITABLE,True
Chemicals & Plastics,Foreign,US,PPG,PPG INDUSTRIES INC,Chemical (Specialty),United States,123.23999786376952,207456756.0,True,,PPG,0.09832,0.20748,0.067,PROFITABLE,False
Chemicals & Plastics,Foreign,US,IP,INTERNATIONAL PAPER CO /NEW/,Packaging & Container,United States,38.7599983215332,201576755.0,True,,IP,-0.13767,-0.16036,0.134,NOT-PROFITABLE,True
Chemicals & Plastics,Foreign,US,BALL,BALL Corp,Packaging & Container,United States,61.790000915527344,183645257.0,True,,BALL,0.06863,0.16785999,0.163,PROFITABLE,True
Chemicals & Plastics,India,IN,ASIANPAINT,ASIAN PAINTS LIMITED,Chemical (Specialty),India,2635.699951171875,34403123.0,True,15.312596030837543,ASIANPAINT.NS,0.121549994,0.20889999,0.106,PROFITABLE,True
