FocusSector,Region,Market,Symbol,Name,Industry Group,Country,Close,Turnover_USD,Above200DMA,Ret252
Chemicals & Plastics,India,IN,ANURAS,ANUPAM RASAYAN INDIA LTD,Chemical (Specialty),India,1264.4000244140625,2997975.0,True,11.548303874200494
Chemicals & Plastics,India,IN,FLUOROCHEM,GUJARAT FLUOROCHEM LTD,Chemical (Specialty),India,3964.0,2790847.0,True,17.160256381578076
Chemicals & Plastics,India,IN,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,Chemical (Basic),India,1178.199951171875,2518429.0,True,25.634460066977272
Electronics & Semiconductors,Foreign,US,MU,MICRON TECHNOLOGY INC,Semiconductor,United States,1132.3299560546875,56720835900.0,True,
Electronics & Semiconductors,Foreign,US,NVDA,NVIDIA CORP,Semiconductor,United States,192.52999877929688,32459242443.0,True,
Electronics & Semiconductors,Foreign,US,SNDK,Sandisk Corp,Computers/Peripherals,United States,2090.7099609375,20336482179.0,True,
Electronics & Semiconductors,Foreign,US,MRVL,"Marvell Technology, Inc.",Semiconductor,United States,266.7699890136719,15613174385.0,True,
Electronics & Semiconductors,Foreign,US,AMD,ADVANCED MICRO DEVICES INC,Semiconductor,United States,521.5800170898438,15464079049.0,True,
Electronics & Semiconductors,Foreign,US,AAPL,Apple Inc.,Computers/Peripherals,United States,283.7799987792969,15350138470.0,True,
Electronics & Semiconductors,Foreign,US,INTC,INTEL CORP,Semiconductor,United States,128.32000732421875,15333692114.0,True,
Electronics & Semiconductors,Foreign,US,AVGO,Broadcom Inc.,Semiconductor,United States,365.0199890136719,14117877951.0,True,
Electronics & Semiconductors,India,IN,NETWEB,NETWEB TECH INDIA LTD,Computers/Peripherals,India,4538.2001953125,131960416.0,True,157.25300482503312
Electronics & Semiconductors,India,IN,TEJASNET,TEJAS NETWORKS LIMITED,Telecom. Equipment,India,612.5,56906634.0,True,-12.68709907341411
Electronics & Semiconductors,India,IN,SYRMA,SYRMA SGS TECHNOLOGY LTD,Electronics (General),India,1396.300048828125,17101277.0,True,175.59460488484845
Electronics & Semiconductors,India,IN,PREMIERENE,PREMIER ENERGIES LIMITED,Semiconductor,India,1051.0,12716447.0,True,2.197586060814616
Electronics & Semiconductors,India,IN,CPPLUS,ADITYA INFOTECH LIMITED,Electronics (General),India,3647.0,12003517.0,True,
Electronics & Semiconductors,India,IN,KERNEX,KERNEX MICROSYS(I) LTD,Electronics (General),India,2159.89990234375,6593509.0,True,
Electronics & Semiconductors,India,IN,AVALON,AVALON TECHNOLOGIES LTD,Electronics (General),India,1801.9000244140625,5639923.0,True,115.65436547651946
Electronics & Semiconductors,India,IN,VINDHYATEL,VINDHYA TELELINKS LTD,Telecom. Equipment,India,2078.800048828125,2389709.0,True,22.167376507648374
Food Processing,Foreign,US,MDLZ,"Mondelez International, Inc.",Food Processing,United States,60.790000915527344,532823825.0,True,
Food Processing,Foreign,US,KHC,Kraft Heinz Co,Food Processing,United States,23.700000762939453,322979628.0,True,
Food Processing,Foreign,US,SJM,J M SMUCKER Co,Food Processing,United States,115.63999938964844,170539667.0,True,
Food Processing,Foreign,US,HRL,HORMEL FOODS CORP /DE/,Food Processing,United States,26.510000228881836,104560896.0,True,
Food Processing,Foreign,US,SEB,SEABOARD CORP /DE/,Food Processing,United States,4738.080078125,60137708.0,True,
Food Processing,Foreign,US,SFD,SMITHFIELD FOODS INC,Food Processing,United States,25.1200008392334,29638437.0,True,
Food Processing,Foreign,US,JBSS,SANFILIPPO JOHN B & SON INC,Food Processing,United States,87.06999969482422,9538973.0,True,
Food Processing,Foreign,US,MAMA,"Mama's Creations, Inc.",Food Processing,United States,19.940000534057617,9103583.0,True,
Food Processing,India,IN,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Food Processing,India,554.9500122070312,2797040.0,True,-6.676197860438937
Food Processing,India,IN,KRBL,KRBL LIMITED,Food Processing,India,375.25,1980797.0,True,9.610046242130487
Food Processing,India,IN,TRIVENI,TRIVENI ENGG. & INDS. LTD,Food Processing,India,422.54998779296875,1808007.0,True,7.656047845342351
Food Processing,India,IN,APEX,APEX FROZEN FOODS LIMITED,Food Processing,India,404.0,1282308.0,True,75.1343908562623
Food Processing,India,IN,SANSTAR,SANSTAR LIMITED,Food Processing,India,121.47000122070312,754643.0,True,33.43952856157708
